episode_id,season,episode,episode_code,title,airdate,year,runtime_minutes,rating,summary,source_url,summary_word_count,rule_category_count,primary_rule_theme,conflict_signal_count,conflict_signals_per_100_words,synopsis_friction_score,character_count,theme__Etiquette & manners,theme__Truth & trust,theme__Space & access,theme__Relationships & loyalty,theme__Identity & language,theme__Money & exchange,theme__Health & body,theme__Reputation & status,character__Larry,character__Cheryl,character__Jeff,character__Susie,character__Leon,character__Richard,character__Ted,character__Marty
51109,1,1,S01E01,The Pants Tent,2000-10-15,2000,30,7.3,"Larry's baggy new pants create awkward misunderstandings among Larry, Cheryl, and her friend. A movie-theater argument with a female 'stranger' leads to tensions between Larry and his best friend. Larry jokingly refers to Cheryl as ""Hitler"" during a car speakerphone conversation with Jeff and his attempts to hide it from her—and to appease Jeff's Holocaust-sensitive parents—backfired disastrously.",https://www.tvmaze.com/episodes/51109/curb-your-enthusiasm-1x01-the-pants-tent,61,3,Relationships & loyalty,5,8.197,81.32,3,0,1,2,5,0,0,0,0,1,1,1,0,0,0,0,0
51110,1,2,S01E02,Ted and Mary,2000-10-22,2000,30,7.3,"Larry and Cheryl enjoy their bowling double-date with Ted Danson and Mary Steenburgen, but it ends badly when Larry accuses the bowling alley of misplacing his sneakers. Later, Ted gets the wrong idea about Larry when he goes shopping with Mary at a downtown department store.",https://www.tvmaze.com/episodes/51110/curb-your-enthusiasm-1x02-ted-and-mary,47,3,Relationships & loyalty,1,2.128,36.64,3,0,1,1,2,0,0,0,0,1,1,0,0,0,0,1,0
51111,1,3,S01E03,Porno Gil,2000-10-29,2000,30,7.5,"By not picking up a golf ball that drops out of a bucket carried by a man in a tacky western hat, Larry sets off a bizarre chain of events in which he's forced to attend a party at the home of a porno businessman named Gil, getting lost with Cheryl along the way. The party ends up being a disaster, as Larry refuses to take off his shoes, breaks a lamp, loses his watch, is forced to do a dreaded ""double goodbye."" Meanwhile, Jeff is hospitalized for emergency bypass surgery and asks Larry to remove the secret porno stash at his home so his wife doesn't find it. While carrying out the favor, Larry discovers a familiar face on one of the video boxes.",https://www.tvmaze.com/episodes/51111/curb-your-enthusiasm-1x03-porno-gil,125,6,Space & access,2,1.6,79.0,3,2,1,3,2,0,1,1,0,1,1,1,0,0,0,0,0
51112,1,4,S01E04,The Bracelet,2000-11-05,2000,30,7.1,"Larry wants to buy a bracelet for Cheryl, but he is not buzzed into the store because he is wearing his workout clothes and looks like a slob. Richard then decides to buy it for his girlfriend instead, upsetting Cheryl. Larry and Richard Lewis help a blind man move into his apartment but he becomes belligerent and ungrateful. Larry returns to a restaurant where he left behind his credit card, but his car is blocked in by the waiter captain because Larry did not tip him the previous day. Larry runs to the jewelry store to try to prevent Richard from buying the bracelet; they fight outside the door because neither is buzzed in.",https://www.tvmaze.com/episodes/51112/curb-your-enthusiasm-1x04-the-bracelet,114,5,Money & exchange,2,1.754,66.0,3,2,0,5,3,0,6,0,1,1,1,0,0,0,1,0,0
51113,1,5,S01E05,Interior Decorator,2000-11-12,2000,30,7.5,"By politely holding the elevator door for a woman in an office building, Larry ends up losing his place before her at the doctor's office, and is delayed 40 minutes. As a result, Larry ends up missing an important meeting with Diane Keaton. At home, Larry and Cheryl are visited by their interior decorator, who has Keaton's phone number but won't give it to Larry even though the actress called and left her number, which Larry couldn't decipher because of static. Thanks to Jeff, however, Larry is able to go to Keaton's house, where he runs into his decorator, gets into a fight, and breaks Diane's lamp -- the same type that was in Porno Gil's pad.",https://www.tvmaze.com/episodes/51113/curb-your-enthusiasm-1x05-interior-decorator,115,4,Space & access,1,0.87,51.0,3,1,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0
51114,1,6,S01E06,The Wire,2000-11-19,2000,30,7.8,"Cheryl gives Larry an ultimatum - bury the wire in the backyard - or else! But the permit the city gives Larry requires six signatures from his neighbors, and that means having to be nice to them at all costs - or else.",https://www.tvmaze.com/episodes/51114/curb-your-enthusiasm-1x06-the-wire,40,1,Relationships & loyalty,0,0.0,12.8,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
51115,1,7,S01E07,AAMCO,2000-11-26,2000,30,7.1,"Jeff buys a '57 Chevy and insists that Larry take it for a drive. At a stop sign, Larry mistakes the honking horn from an AAMCO commercial for the car behind him and yells at the other driver, who then hits the Chevy and speeds away. Luckily, Larry meets an antique auto mechanic at a dinner party who says he can fix Jeff's Chevy.",https://www.tvmaze.com/episodes/51115/curb-your-enthusiasm-1x07-aamco,63,3,Etiquette & manners,0,0.0,31.56,2,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
51116,1,8,S01E08,Beloved Aunt,2000-12-03,2000,30,8.1,"When Cheryl's aunt dies, the family asks Larry to write the obituary. But when it gets printed in the newspaper, an unfortunate typo lands Larry in the hot seat.",https://www.tvmaze.com/episodes/51116/curb-your-enthusiasm-1x08-beloved-aunt,29,2,Relationships & loyalty,0,0.0,19.48,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
51117,1,9,S01E09,Affirmative Action,2000-12-10,2000,30,7.6,"Cheryl needs a prescription picked up for a terrible rash, which is repeatedly complicated by Larry, including a bad joke that he tells in front of Richard Lewis' doctor.",https://www.tvmaze.com/episodes/51117/curb-your-enthusiasm-1x09-affirmative-action,29,2,Relationships & loyalty,0,0.0,19.48,3,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
51118,1,10,S01E10,The Group,2000-12-17,2000,30,7.8,"Thanks to Larry's manager, Jeff, Cheryl is up for a part in ""The Vagina Monologues."" Meanwhile, Larry runs into an ex, who asks him to attend a survivors-of-incest support group with her to lend moral support while she deals with her past.",https://www.tvmaze.com/episodes/51118/curb-your-enthusiasm-1x10-the-group,44,2,Etiquette & manners,0,0.0,21.28,3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
